Winter period,,,,,Summer period,,,
Time from,Time to,Heat Demand,  ,,Time from,Time to,Heat Demand,Electricity Price
3/2/2024 4:00,3/2/2024 5:00,8.16,583.16,,8/12/2024 4:00,8/12/2024 5:00,1.43,718.43
3/2/2024 5:00,3/2/2024 6:00,8.45,617.99,,8/12/2024 5:00,8/12/2024 6:00,1.45,726.9
3/2/2024 6:00,3/2/2024 7:00,8.51,629.23,,8/12/2024 6:00,8/12/2024 7:00,1.47,710.1
3/2/2024 7:00,3/2/2024 8:00,7.79,689.06,,8/12/2024 7:00,8/12/2024 8:00,1.5,684
3/2/2024 8:00,3/2/2024 9:00,7.64,769.66,,8/12/2024 8:00,8/12/2024 9:00,1.62,646.8
3/2/2024 9:00,3/2/2024 10:00,7.71,802.85,,8/12/2024 9:00,8/12/2024 10:00,1.7,578.33
3/2/2024 10:00,3/2/2024 11:00,7.64,781.42,,8/12/2024 10:00,8/12/2024 11:00,1.74,450.9
3/2/2024 11:00,3/2/2024 12:00,6.99,716.9,,8/12/2024 11:00,8/12/2024 12:00,1.68,375.9
3/2/2024 12:00,3/2/2024 13:00,6.39,692.56,,8/12/2024 12:00,8/12/2024 13:00,1.58,342.68
3/2/2024 13:00,3/2/2024 14:00,6.22,678.35,,8/12/2024 13:00,8/12/2024 14:00,1.45,277.43
3/2/2024 14:00,3/2/2024 15:00,6.28,647.02,,8/12/2024 14:00,8/12/2024 15:00,1.43,336.38
3/2/2024 15:00,3/2/2024 16:00,6.78,645.53,,8/12/2024 15:00,8/12/2024 16:00,1.42,413.63
3/2/2024 16:00,3/2/2024 17:00,7.01,650.07,,8/12/2024 16:00,8/12/2024 17:00,1.47,547.35
3/2/2024 17:00,3/2/2024 18:00,7.18,647.16,,8/12/2024 17:00,8/12/2024 18:00,1.46,618
3/2/2024 18:00,3/2/2024 19:00,6.65,649.7,,8/12/2024 18:00,8/12/2024 19:00,1.5,783.08
3/2/2024 19:00,3/2/2024 20:00,6.72,638.53,,8/12/2024 19:00,8/12/2024 20:00,1.5,916.58
3/2/2024 20:00,3/2/2024 21:00,6.86,625.29,,8/12/2024 20:00,8/12/2024 21:00,1.44,990
3/2/2024 21:00,3/2/2024 22:00,6.83,621.34,,8/12/2024 21:00,8/12/2024 22:00,1.45,1005.75
3/2/2024 22:00,3/2/2024 23:00,6.86,624.62,,8/12/2024 22:00,8/12/2024 23:00,1.44,990.9
3/2/2024 23:00,3/3/2024 0:00,6.78,620.15,,8/12/2024 23:00,8/13/2024 0:00,1.47,897
3/3/2024 0:00,3/3/2024 1:00,6.8,580.99,,8/13/2024 0:00,8/13/2024 1:00,1.4,843.68
3/3/2024 1:00,3/3/2024 2:00,6.8,592.3,,8/13/2024 1:00,8/13/2024 2:00,1.32,765
3/3/2024 2:00,3/3/2024 3:00,6.82,622.22,,8/13/2024 2:00,8/13/2024 3:00,1.28,707.25
3/3/2024 3:00,3/3/2024 4:00,6.95,634.79,,8/13/2024 3:00,8/13/2024 4:00,1.33,689.55
3/3/2024 4:00,3/3/2024 5:00,7.73,659.87,,8/13/2024 4:00,8/13/2024 5:00,1.35,699.83
3/3/2024 5:00,3/3/2024 6:00,7.9,706.76,,8/13/2024 5:00,8/13/2024 6:00,1.35,788.55
3/3/2024 6:00,3/3/2024 7:00,8.11,795.76,,8/13/2024 6:00,8/13/2024 7:00,1.42,912.53
3/3/2024 7:00,3/3/2024 8:00,7.62,1235.88,,8/13/2024 7:00,8/13/2024 8:00,1.49,995.85
3/3/2024 8:00,3/3/2024 9:00,7.64,1310.52,,8/13/2024 8:00,8/13/2024 9:00,1.55,1007.03
3/3/2024 9:00,3/3/2024 10:00,7.44,1072.23,,8/13/2024 9:00,8/13/2024 10:00,1.58,884.63
3/3/2024 10:00,3/3/2024 11:00,7.26,847.86,,8/13/2024 10:00,8/13/2024 11:00,1.68,789.6
3/3/2024 11:00,3/3/2024 12:00,7.03,740.32,,8/13/2024 11:00,8/13/2024 12:00,1.73,712.43
3/3/2024 12:00,3/3/2024 13:00,6.77,706.46,,8/13/2024 12:00,8/13/2024 13:00,1.68,669.23
3/3/2024 13:00,3/3/2024 14:00,6.72,671.18,,8/13/2024 13:00,8/13/2024 14:00,1.62,601.2
3/3/2024 14:00,3/3/2024 15:00,6.9,615.67,,8/13/2024 14:00,8/13/2024 15:00,1.51,483.53
3/3/2024 15:00,3/3/2024 16:00,7.34,608.6,,8/13/2024 15:00,8/13/2024 16:00,1.53,463.58
3/3/2024 16:00,3/3/2024 17:00,7.48,597.21,,8/13/2024 16:00,8/13/2024 17:00,1.46,472.05
3/3/2024 17:00,3/3/2024 18:00,7.45,603.39,,8/13/2024 17:00,8/13/2024 18:00,1.51,602.7
3/3/2024 18:00,3/3/2024 19:00,6.92,593.12,,8/13/2024 18:00,8/13/2024 19:00,1.55,914.78
3/3/2024 19:00,3/3/2024 20:00,6.82,578.01,,8/13/2024 19:00,8/13/2024 20:00,1.53,1241.18
3/3/2024 20:00,3/3/2024 21:00,6.78,544.08,,8/13/2024 20:00,8/13/2024 21:00,1.5,1319.18
3/3/2024 21:00,3/3/2024 22:00,6.68,527.93,,8/13/2024 21:00,8/13/2024 22:00,1.49,1350.53
3/3/2024 22:00,3/3/2024 23:00,6.56,499.2,,8/13/2024 22:00,8/13/2024 23:00,1.47,1221.9
3/3/2024 23:00,3/4/2024 0:00,6.46,334.89,,8/13/2024 23:00,8/14/2024 0:00,1.57,1002.75
3/4/2024 0:00,3/4/2024 1:00,6.35,557.82,,8/14/2024 0:00,8/14/2024 1:00,1.53,933.08
3/4/2024 1:00,3/4/2024 2:00,6.31,577.84,,8/14/2024 1:00,8/14/2024 2:00,1.54,868.05
3/4/2024 2:00,3/4/2024 3:00,6.37,576.8,,8/14/2024 2:00,8/14/2024 3:00,1.42,789.68
3/4/2024 3:00,3/4/2024 4:00,6.43,573.45,,8/14/2024 3:00,8/14/2024 4:00,1.46,755.1
3/4/2024 4:00,3/4/2024 5:00,7.04,576.58,,8/14/2024 4:00,8/14/2024 5:00,1.48,747.75
3/4/2024 5:00,3/4/2024 6:00,6.96,566.53,,8/14/2024 5:00,8/14/2024 6:00,1.56,845.55
3/4/2024 6:00,3/4/2024 7:00,6.96,580.97,,8/14/2024 6:00,8/14/2024 7:00,1.6,926.63
3/4/2024 7:00,3/4/2024 8:00,6.61,587.59,,8/14/2024 7:00,8/14/2024 8:00,1.68,940.43
3/4/2024 8:00,3/4/2024 9:00,6.82,595.41,,8/14/2024 8:00,8/14/2024 9:00,1.8,907.13
3/4/2024 9:00,3/4/2024 10:00,6.89,607.17,,8/14/2024 9:00,8/14/2024 10:00,1.78,788.25
3/4/2024 10:00,3/4/2024 11:00,6.69,612.83,,8/14/2024 10:00,8/14/2024 11:00,1.83,686.78
3/4/2024 11:00,3/4/2024 12:00,6.62,607.17,,8/14/2024 11:00,8/14/2024 12:00,1.92,489.38
3/4/2024 12:00,3/4/2024 13:00,6.5,600.03,,8/14/2024 12:00,8/14/2024 13:00,1.93,422.85
3/4/2024 13:00,3/4/2024 14:00,6.4,603.9,,8/14/2024 13:00,8/14/2024 14:00,1.91,347.93
3/4/2024 14:00,3/4/2024 15:00,6.58,609.7,,8/14/2024 14:00,8/14/2024 15:00,1.72,355.43
3/4/2024 15:00,3/4/2024 16:00,6.2,599.21,,8/14/2024 15:00,8/14/2024 16:00,1.64,434.1
3/4/2024 16:00,3/4/2024 17:00,6.29,660.25,,8/14/2024 16:00,8/14/2024 17:00,1.59,510
3/4/2024 17:00,3/4/2024 18:00,6.07,744.23,,8/14/2024 17:00,8/14/2024 18:00,1.53,698.4
3/4/2024 18:00,3/4/2024 19:00,6.27,832.82,,8/14/2024 18:00,8/14/2024 19:00,1.61,855
3/4/2024 19:00,3/4/2024 20:00,6.3,809.51,,8/14/2024 19:00,8/14/2024 20:00,1.69,1061.63
3/4/2024 20:00,3/4/2024 21:00,6.25,743.26,,8/14/2024 20:00,8/14/2024 21:00,1.65,1200.15
3/4/2024 21:00,3/4/2024 22:00,6.16,731.05,,8/14/2024 21:00,8/14/2024 22:00,1.62,1005.68
3/4/2024 22:00,3/4/2024 23:00,6.23,703.51,,8/14/2024 22:00,8/14/2024 23:00,1.56,892.5
3/4/2024 23:00,3/5/2024 0:00,6.09,706.04,,8/14/2024 23:00,8/15/2024 0:00,1.62,772.73
3/5/2024 0:00,3/5/2024 1:00,6.05,965.7,,8/15/2024 0:00,8/15/2024 1:00,1.7,738.53
3/5/2024 1:00,3/5/2024 2:00,6.05,934.21,,8/15/2024 1:00,8/15/2024 2:00,1.66,682.5
3/5/2024 2:00,3/5/2024 3:00,6.06,981.11,,8/15/2024 2:00,8/15/2024 3:00,1.62,675
3/5/2024 3:00,3/5/2024 4:00,6.24,949.69,,8/15/2024 3:00,8/15/2024 4:00,1.55,615.68
3/5/2024 4:00,3/5/2024 5:00,6.75,881.88,,8/15/2024 4:00,8/15/2024 5:00,1.58,580.5
3/5/2024 5:00,3/5/2024 6:00,6.74,885.08,,8/15/2024 5:00,8/15/2024 6:00,1.61,570
3/5/2024 6:00,3/5/2024 7:00,6.72,804.15,,8/15/2024 6:00,8/15/2024 7:00,1.66,661.65
3/5/2024 7:00,3/5/2024 8:00,6.27,864.83,,8/15/2024 7:00,8/15/2024 8:00,1.75,865.5
3/5/2024 8:00,3/5/2024 9:00,6.51,1056.9,,8/15/2024 8:00,8/15/2024 9:00,1.78,900
3/5/2024 9:00,3/5/2024 10:00,6.71,1004.78,,8/15/2024 9:00,8/15/2024 10:00,1.76,767.48
3/5/2024 10:00,3/5/2024 11:00,6.59,1002.18,,8/15/2024 10:00,8/15/2024 11:00,1.76,622.5
3/5/2024 11:00,3/5/2024 12:00,6.41,900.34,,8/15/2024 11:00,8/15/2024 12:00,1.94,380.78
3/5/2024 12:00,3/5/2024 13:00,6.28,790.61,,8/15/2024 12:00,8/15/2024 13:00,1.86,119.03
3/5/2024 13:00,3/5/2024 14:00,6.26,756.88,,8/15/2024 13:00,8/15/2024 14:00,1.79,96.9
3/5/2024 14:00,3/5/2024 15:00,6.53,740.73,,8/15/2024 14:00,8/15/2024 15:00,1.62,144.98
3/5/2024 15:00,3/5/2024 16:00,6.48,733.8,,8/15/2024 15:00,8/15/2024 16:00,1.55,202.73
3/5/2024 16:00,3/5/2024 17:00,6.45,877.86,,8/15/2024 16:00,8/15/2024 17:00,1.55,221.18
3/5/2024 17:00,3/5/2024 18:00,6.14,1123.45,,8/15/2024 17:00,8/15/2024 18:00,1.53,328.65
3/5/2024 18:00,3/5/2024 19:00,6.3,1247.03,,8/15/2024 18:00,8/15/2024 19:00,1.56,375.45
3/5/2024 19:00,3/5/2024 20:00,6.17,1002.63,,8/15/2024 19:00,8/15/2024 20:00,1.59,601.95
3/5/2024 20:00,3/5/2024 21:00,6.1,1002.33,,8/15/2024 20:00,8/15/2024 21:00,1.61,1043.25
3/5/2024 21:00,3/5/2024 22:00,6.09,797.16,,8/15/2024 21:00,8/15/2024 22:00,1.61,939
3/5/2024 22:00,3/5/2024 23:00,6.09,767.38,,8/15/2024 22:00,8/15/2024 23:00,1.67,945.08
3/5/2024 23:00,3/6/2024 0:00,6.03,734.85,,8/15/2024 23:00,8/16/2024 0:00,1.66,854.33
3/6/2024 0:00,3/6/2024 1:00,6.08,773.11,,8/16/2024 0:00,8/16/2024 1:00,1.67,786.9
3/6/2024 1:00,3/6/2024 2:00,6.18,753.01,,8/16/2024 1:00,8/16/2024 2:00,1.65,642.45
3/6/2024 2:00,3/6/2024 3:00,6.26,751.67,,8/16/2024 2:00,8/16/2024 3:00,1.6,592.5
3/6/2024 3:00,3/6/2024 4:00,6.39,766.93,,8/16/2024 3:00,8/16/2024 4:00,1.55,563.18
3/6/2024 4:00,3/6/2024 5:00,6.96,773.33,,8/16/2024 4:00,8/16/2024 5:00,1.6,570
3/6/2024 5:00,3/6/2024 6:00,7.09,818.15,,8/16/2024 5:00,8/16/2024 6:00,1.68,663.83
3/6/2024 6:00,3/6/2024 7:00,7.34,1170.72,,8/16/2024 6:00,8/16/2024 7:00,1.71,766.73
3/6/2024 7:00,3/6/2024 8:00,6.84,1459.72,,8/16/2024 7:00,8/16/2024 8:00,1.78,828.53
3/6/2024 8:00,3/6/2024 9:00,6.94,1505.28,,8/16/2024 8:00,8/16/2024 9:00,2.04,893.25
3/6/2024 9:00,3/6/2024 10:00,6.86,1460.61,,8/16/2024 9:00,8/16/2024 10:00,2.02,652.2
3/6/2024 10:00,3/6/2024 11:00,6.73,1290.5,,8/16/2024 10:00,8/16/2024 11:00,1.8,365.78
3/6/2024 11:00,3/6/2024 12:00,6.46,1049.67,,8/16/2024 11:00,8/16/2024 12:00,1.73,356.93
3/6/2024 12:00,3/6/2024 13:00,6.21,916.42,,8/16/2024 12:00,8/16/2024 13:00,1.72,370.43
3/6/2024 13:00,3/6/2024 14:00,6.26,893.34,,8/16/2024 13:00,8/16/2024 14:00,1.62,348.75
3/6/2024 14:00,3/6/2024 15:00,6.34,893.34,,8/16/2024 14:00,8/16/2024 15:00,1.62,348.75
3/6/2024 15:00,3/6/2024 16:00,6.66,900.78,,8/16/2024 15:00,8/16/2024 16:00,1.67,350.63
3/6/2024 16:00,3/6/2024 17:00,6.71,1118.39,,8/16/2024 16:00,8/16/2024 17:00,1.61,338.03
3/6/2024 17:00,3/6/2024 18:00,6.81,1400.01,,8/16/2024 17:00,8/16/2024 18:00,1.65,351.98
3/6/2024 18:00,3/6/2024 19:00,6.47,1651.19,,8/16/2024 18:00,8/16/2024 19:00,1.65,417.68
3/6/2024 19:00,3/6/2024 20:00,6.26,1538.03,,8/16/2024 19:00,8/16/2024 20:00,1.67,867.23
3/6/2024 20:00,3/6/2024 21:00,6.2,1398.52,,8/16/2024 20:00,8/16/2024 21:00,1.68,981.45
3/6/2024 21:00,3/6/2024 22:00,6.22,1257.52,,8/16/2024 21:00,8/16/2024 22:00,1.62,1034.18
3/6/2024 22:00,3/6/2024 23:00,6.15,1198.34,,8/16/2024 22:00,8/16/2024 23:00,1.61,972.53
3/6/2024 23:00,3/7/2024 0:00,6.19,1117.57,,8/16/2024 23:00,8/17/2024 0:00,1.7,882.9
3/7/2024 0:00,3/7/2024 1:00,6.15,1010.17,,8/17/2024 0:00,8/17/2024 1:00,1.71,757.5
3/7/2024 1:00,3/7/2024 2:00,6.33,985.59,,8/17/2024 1:00,8/17/2024 2:00,1.75,722.7
3/7/2024 2:00,3/7/2024 3:00,6.32,984.39,,8/17/2024 2:00,8/17/2024 3:00,1.66,634.13
3/7/2024 3:00,3/7/2024 4:00,6.38,984.1,,8/17/2024 3:00,8/17/2024 4:00,1.64,626.85
3/7/2024 4:00,3/7/2024 5:00,7.02,985.59,,8/17/2024 4:00,8/17/2024 5:00,1.7,700.13
3/7/2024 5:00,3/7/2024 6:00,7.21,1057.17,,8/17/2024 5:00,8/17/2024 6:00,1.78,745.13
3/7/2024 6:00,3/7/2024 7:00,7.4,1238.09,,8/17/2024 6:00,8/17/2024 7:00,1.8,855
3/7/2024 7:00,3/7/2024 8:00,6.92,1489.63,,8/17/2024 7:00,8/17/2024 8:00,1.78,855
3/7/2024 8:00,3/7/2024 9:00,7.06,1541.69,,8/17/2024 8:00,8/17/2024 9:00,1.82,778.2
3/7/2024 9:00,3/7/2024 10:00,7.02,1345.2,,8/17/2024 9:00,8/17/2024 10:00,1.9,638.03
3/7/2024 10:00,3/7/2024 11:00,7.12,1029.83,,8/17/2024 10:00,8/17/2024 11:00,1.86,597.83
3/7/2024 11:00,3/7/2024 12:00,7.08,1036.53,,8/17/2024 11:00,8/17/2024 12:00,1.88,572.93
3/7/2024 12:00,3/7/2024 13:00,7.08,970.99,,8/17/2024 12:00,8/17/2024 13:00,1.83,553.5
3/7/2024 13:00,3/7/2024 14:00,7,934.12,,8/17/2024 13:00,8/17/2024 14:00,1.76,523.88
3/7/2024 14:00,3/7/2024 15:00,6.64,945.44,,8/17/2024 14:00,8/17/2024 15:00,1.63,563.48
3/7/2024 15:00,3/7/2024 16:00,7.09,985.59,,8/17/2024 15:00,8/17/2024 16:00,1.57,582.75
3/7/2024 16:00,3/7/2024 17:00,7.07,1137.39,,8/17/2024 16:00,8/17/2024 17:00,1.55,581.63
3/7/2024 17:00,3/7/2024 18:00,7.03,1346.76,,8/17/2024 17:00,8/17/2024 18:00,1.54,730.95
3/7/2024 18:00,3/7/2024 19:00,6.53,1489.63,,8/17/2024 18:00,8/17/2024 19:00,1.56,864.38
3/7/2024 19:00,3/7/2024 20:00,6.38,1437.34,,8/17/2024 19:00,8/17/2024 20:00,1.56,1051.43
3/7/2024 20:00,3/7/2024 21:00,6.51,1309.52,,8/17/2024 20:00,8/17/2024 21:00,1.59,1049.4
3/7/2024 21:00,3/7/2024 22:00,6.34,1192.43,,8/17/2024 21:00,8/17/2024 22:00,1.57,929.4
3/7/2024 22:00,3/7/2024 23:00,6.41,1124.95,,8/17/2024 22:00,8/17/2024 23:00,1.55,714.38
3/7/2024 23:00,3/8/2024 0:00,6.35,1055.68,,8/17/2024 23:00,8/18/2024 0:00,1.62,607.05
3/8/2024 0:00,3/8/2024 1:00,6.62,1190.94,,8/18/2024 0:00,8/18/2024 1:00,1.79,752.03
3/8/2024 1:00,3/8/2024 2:00,6.85,1154.55,,8/18/2024 1:00,8/18/2024 2:00,1.85,691.05
3/8/2024 2:00,3/8/2024 3:00,6.98,1116.22,,8/18/2024 2:00,8/18/2024 3:00,1.76,674.78
3/8/2024 3:00,3/8/2024 4:00,7.04,1101.12,,8/18/2024 3:00,8/18/2024 4:00,1.67,652.95
3/8/2024 4:00,3/8/2024 5:00,7.72,1086.24,,8/18/2024 4:00,8/18/2024 5:00,1.73,666.3
3/8/2024 5:00,3/8/2024 6:00,7.85,1109.53,,8/18/2024 5:00,8/18/2024 6:00,1.79,654.6
3/8/2024 6:00,3/8/2024 7:00,8.15,1307.4,,8/18/2024 6:00,8/18/2024 7:00,1.82,637.05
3/8/2024 7:00,3/8/2024 8:00,7.62,1463.3,,8/18/2024 7:00,8/18/2024 8:00,1.81,639.45
3/8/2024 8:00,3/8/2024 9:00,7.55,1608.78,,8/18/2024 8:00,8/18/2024 9:00,1.84,628.28
3/8/2024 9:00,3/8/2024 10:00,7.6,1309.7,,8/18/2024 9:00,8/18/2024 10:00,1.88,570.3
3/8/2024 10:00,3/8/2024 11:00,7.75,952.51,,8/18/2024 10:00,8/18/2024 11:00,2,456.75
3/8/2024 11:00,3/8/2024 12:00,7.06,882.93,,8/18/2024 11:00,8/18/2024 12:00,1.86,347.4
3/8/2024 12:00,3/8/2024 13:00,6.68,860.31,,8/18/2024 12:00,8/18/2024 13:00,1.78,264.15
3/8/2024 13:00,3/8/2024 14:00,6.73,854.88,,8/18/2024 13:00,8/18/2024 14:00,1.6,125.33
3/8/2024 14:00,3/8/2024 15:00,6.84,850.12,,8/18/2024 14:00,8/18/2024 15:00,1.57,125.48
3/8/2024 15:00,3/8/2024 16:00,7.3,933.09,,8/18/2024 15:00,8/18/2024 16:00,1.55,300
3/8/2024 16:00,3/8/2024 17:00,7.39,953.26,,8/18/2024 16:00,8/18/2024 17:00,1.57,456.75
3/8/2024 17:00,3/8/2024 18:00,7.68,951.1,,8/18/2024 17:00,8/18/2024 18:00,1.53,625.5
3/8/2024 18:00,3/8/2024 19:00,7.38,765.21,,8/18/2024 18:00,8/18/2024 19:00,1.52,804.75
3/8/2024 19:00,3/8/2024 20:00,7.4,716.47,,8/18/2024 19:00,8/18/2024 20:00,1.5,907.5
3/8/2024 20:00,3/8/2024 21:00,7.56,696.3,,8/18/2024 20:00,8/18/2024 21:00,1.5,965.7
3/8/2024 21:00,3/8/2024 22:00,7.69,665.34,,8/18/2024 21:00,8/18/2024 22:00,1.48,996.45
3/8/2024 22:00,3/8/2024 23:00,7.66,663.56,,8/18/2024 22:00,8/18/2024 23:00,1.51,972.9
3/8/2024 23:00,3/9/2024 0:00,7.54,636.77,,8/18/2024 23:00,8/19/2024 0:00,1.55,869.4
3/9/2024 0:00,3/9/2024 1:00,7.58,615.31,,8/19/2024 0:00,8/19/2024 1:00,1.54,820.8
3/9/2024 1:00,3/9/2024 2:00,7.68,588.89,,8/19/2024 1:00,8/19/2024 2:00,1.47,763.05
3/9/2024 2:00,3/9/2024 3:00,7.71,577.88,,8/19/2024 2:00,8/19/2024 3:00,1.41,763.65
3/9/2024 3:00,3/9/2024 4:00,7.7,577.66,,8/19/2024 3:00,8/19/2024 4:00,1.43,715.8
3/9/2024 4:00,3/9/2024 5:00,8.16,583.16,,8/19/2024 4:00,8/19/2024 5:00,1.43,718.43
3/9/2024 5:00,3/9/2024 6:00,8.45,617.99,,8/19/2024 5:00,8/19/2024 6:00,1.45,726.9
3/9/2024 6:00,3/9/2024 7:00,8.51,629.23,,8/19/2024 6:00,8/19/2024 7:00,1.47,710.1
3/9/2024 7:00,3/9/2024 8:00,7.79,689.06,,8/19/2024 7:00,8/19/2024 8:00,1.5,684
3/9/2024 8:00,3/9/2024 9:00,7.64,769.66,,8/19/2024 8:00,8/19/2024 9:00,1.62,646.8
3/9/2024 9:00,3/9/2024 10:00,7.71,802.85,,8/19/2024 9:00,8/19/2024 10:00,1.7,578.33
3/9/2024 10:00,3/9/2024 11:00,7.64,781.42,,8/19/2024 10:00,8/19/2024 11:00,1.74,450.9
3/9/2024 11:00,3/9/2024 12:00,6.99,716.9,,8/19/2024 11:00,8/19/2024 12:00,1.68,375.9
3/9/2024 12:00,3/9/2024 13:00,6.39,692.56,,8/19/2024 12:00,8/19/2024 13:00,1.58,342.68
3/9/2024 13:00,3/9/2024 14:00,6.22,678.35,,8/19/2024 13:00,8/19/2024 14:00,1.45,277.43
3/9/2024 14:00,3/9/2024 15:00,6.28,647.02,,8/19/2024 14:00,8/19/2024 15:00,1.43,336.38
3/9/2024 15:00,3/9/2024 16:00,6.78,645.53,,8/19/2024 15:00,8/19/2024 16:00,1.42,413.63
3/9/2024 16:00,3/9/2024 17:00,7.01,650.07,,8/19/2024 16:00,8/19/2024 17:00,1.47,547.35
3/9/2024 17:00,3/9/2024 18:00,7.18,647.16,,8/19/2024 17:00,8/19/2024 18:00,1.46,618
3/9/2024 18:00,3/9/2024 19:00,6.65,649.7,,8/19/2024 18:00,8/19/2024 19:00,1.5,783.08
3/9/2024 19:00,3/9/2024 20:00,6.72,638.53,,8/19/2024 19:00,8/19/2024 20:00,1.5,916.58
3/9/2024 20:00,3/9/2024 21:00,6.86,625.29,,8/19/2024 20:00,8/19/2024 21:00,1.44,990
3/9/2024 21:00,3/9/2024 22:00,6.83,621.34,,8/19/2024 21:00,8/19/2024 22:00,1.45,1005.75
3/9/2024 22:00,3/9/2024 23:00,6.86,624.62,,8/19/2024 22:00,8/19/2024 23:00,1.44,990.9
3/9/2024 23:00,3/10/2024 0:00,6.78,620.15,,8/19/2024 23:00,8/20/2024 0:00,1.47,897
3/10/2024 0:00,3/10/2024 1:00,6.8,580.99,,8/20/2024 0:00,8/20/2024 1:00,1.4,843.68
3/10/2024 1:00,3/10/2024 2:00,6.8,592.3,,8/20/2024 1:00,8/20/2024 2:00,1.32,765
3/10/2024 2:00,3/10/2024 3:00,6.82,622.22,,8/20/2024 2:00,8/20/2024 3:00,1.28,707.25
3/10/2024 3:00,3/10/2024 4:00,6.95,634.79,,8/20/2024 3:00,8/20/2024 4:00,1.33,689.55
3/10/2024 4:00,3/10/2024 5:00,7.73,659.87,,8/20/2024 4:00,8/20/2024 5:00,1.35,699.83
3/10/2024 5:00,3/10/2024 6:00,7.9,706.76,,8/20/2024 5:00,8/20/2024 6:00,1.35,788.55
3/10/2024 6:00,3/10/2024 7:00,8.11,795.76,,8/20/2024 6:00,8/20/2024 7:00,1.42,912.53
3/10/2024 7:00,3/10/2024 8:00,7.62,1235.88,,8/20/2024 7:00,8/20/2024 8:00,1.49,995.85
3/10/2024 8:00,3/10/2024 9:00,7.64,1310.52,,8/20/2024 8:00,8/20/2024 9:00,1.55,1007.03
3/10/2024 9:00,3/10/2024 10:00,7.44,1072.23,,8/20/2024 9:00,8/20/2024 10:00,1.58,884.63
